"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 02 23:26:59 UTC 2026","Mon Feb 02 23:27:02 UTC 2026","2577","","io.maksym.web.UI.LoginTest","","io.maksym.web.UI.LoginTest","verifyUserIsNotAbleToLoginWithInvalidCredentials","verifyUserIsNotAbleToLoginWithInvalidCredentials(String, String, UiUserLogIn) with invalid [Username]",""
"passed","Mon Feb 02 23:26:58 UTC 2026","Mon Feb 02 23:27:00 UTC 2026","2295","","io.maksym.web.UI.LoginTest","","io.maksym.web.UI.LoginTest","verifyUserIsAbleToRedirectToHomePage","Verify that user is able to redirect to Home Page successfully",""
"passed","Mon Feb 02 23:26:52 UTC 2026","Mon Feb 02 23:26:55 UTC 2026","3219","","io.maksym.web.UI.RegistrationTest","","io.maksym.web.UI.RegistrationTest","invalidUserRegistrationAndLoginTest","Verify that user is NOT able to register successfully with [Name] < 4 characters",""
"passed","Mon Feb 02 23:26:41 UTC 2026","Mon Feb 02 23:26:43 UTC 2026","1553","","Verify that user is able to change [Note] fields","","io.maksym.web.NoteTests.UpdateNoteTest","updateNoteStatusTest","Verify that user is able to change Completed status","1. Create new Note
2. Send request to Update [Status] of Note
3. Assert response
"
"passed","Mon Feb 02 23:26:43 UTC 2026","Mon Feb 02 23:26:44 UTC 2026","280","","Verify that user is able to update [Profile] data","","io.maksym.web.UserTests.UpdateUserProfileTest","updateUserProfileWithInvalidValuesTest","Verify that user is NOT able to update Profile with invalid Token",""
"passed","Mon Feb 02 23:26:48 UTC 2026","Mon Feb 02 23:26:49 UTC 2026","1268","","Verify that user is able to update [Profile] data","","io.maksym.web.UserTests.UpdateUserProfileTest","updateUserProfileWithValidValuesTest","Verify that user is able to update [Name], [Phone], [Company] in the same time",""
"passed","Mon Feb 02 23:26:41 UTC 2026","Mon Feb 02 23:26:42 UTC 2026","939","","Verify that user is able to get [Notes]","","io.maksym.web.NoteTests.GetNotesTest","getNotesTest","Verify that user is able to get all [Notes]","1. Send request to Get all Notes
2. Assert response
"
"passed","Mon Feb 02 23:27:00 UTC 2026","Mon Feb 02 23:27:05 UTC 2026","5895","","io.maksym.web.UI.WebInputsTest","","io.maksym.web.UI.WebInputsTest","testWebInputs","Verify that user is able to fill web inputs successfully [3] 789, Text3, Password3, 2022-12-22",""
"passed","Mon Feb 02 23:26:44 UTC 2026","Mon Feb 02 23:26:44 UTC 2026","494","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifySuccessUserRegistrationTest","Verify that user is able to Register successfully",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","132","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyRegistrationWithInvalidDataTest","Verify that user is NOT able to register successfully with [Name] < 4 characters",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:47 UTC 2026","2843","","io.maksym.web.UI.ScrollTest","","io.maksym.web.UI.ScrollTest","ScrollTest","ScrollTest()",""
"passed","Mon Feb 02 23:26:41 UTC 2026","Mon Feb 02 23:26:41 UTC 2026","834","","Verify that user is able to change [Note] fields","","io.maksym.web.NoteTests.UpdateNoteTest","updateNoteFieldsTest","Verify that user is able to update [Note] fields","1. Create new Note
2. Send request to Update all fields
3. Assert response
"
"passed","Mon Feb 02 23:26:41 UTC 2026","Mon Feb 02 23:26:43 UTC 2026","1396","","Verify that user is able to delete [Note]","","io.maksym.web.NoteTests.DeleteNoteTest","deleteNoteTest","Verify that user is able to delete [Note]","1. Create new Note
2. Delete created Note
2. Send request
3. Assert response
"
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","137","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyRegistrationWithInvalidDataTest","Verify that user is NOT able to register successfully with empty [Email]",""
"passed","Mon Feb 02 23:26:46 UTC 2026","Mon Feb 02 23:26:48 UTC 2026","1425","","Verify that user is able to update [Profile] data","","io.maksym.web.UserTests.UpdateUserProfileTest","updateUserProfileWithValidValuesTest","Verify that user is able to update [Company]",""
"passed","Mon Feb 02 23:26:43 UTC 2026","Mon Feb 02 23:26:44 UTC 2026","1098","","Verify that user is Deleted successfully","","io.maksym.web.UserTests.DeleteUserTest","deleteUserTest","Verify that user is Deleted successfully","1. Register User
2. Log In with User
3. Delete User
4. Assert response
"
"passed","Mon Feb 02 23:26:43 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","2572","","io.maksym.web.UI.RegistrationTest","","io.maksym.web.UI.RegistrationTest","invalidUserRegistrationAndLoginTest","Verify that user is NOT able to register successfully with empty [Password]",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:47 UTC 2026","2234","","io.maksym.web.UI.ForgotPasswordTest","","io.maksym.web.UI.ForgotPasswordTest","verifyUserIsNotAbleToResetPasswordWithInvalidEmail","Verify that user is NOT able to reset password with invalid email with invalid [Email]",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","142","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyRegistrationWithInvalidDataTest","Verify that user is NOT able to register successfully with [Name] > 30 characters",""
"passed","Mon Feb 02 23:26:49 UTC 2026","Mon Feb 02 23:26:52 UTC 2026","3542","","io.maksym.web.UI.RegistrationTest","","io.maksym.web.UI.RegistrationTest","invalidUserRegistrationAndLoginTest","Verify that user is NOT able to register successfully with [Name] > 30 characters",""
"passed","Mon Feb 02 23:26:47 UTC 2026","Mon Feb 02 23:26:50 UTC 2026","2597","","io.maksym.web.UI.ForgotPasswordTest","","io.maksym.web.UI.ForgotPasswordTest","verifyUserIsNotAbleToResetPasswordWithInvalidEmail","Verify that user is NOT able to reset password with invalid email with empty [Email]",""
"passed","Mon Feb 02 23:26:44 UTC 2026","Mon Feb 02 23:26:44 UTC 2026","106","","Verify that user is able to update [Profile] data","","io.maksym.web.UserTests.UpdateUserProfileTest","updateUserProfileWithInvalidValuesTest","Verify that user is NOT able to update with NULL value in [Name], [Phone], [Company]",""
"passed","Mon Feb 02 23:26:44 UTC 2026","Mon Feb 02 23:26:44 UTC 2026","117","","Verify that user is Deleted successfully","","io.maksym.web.UserTests.DeleteUserTest","deleteUserWithInvalidTokenTest","Verify that user is NOT able to Delete Profile with invalid Token","1. Attempt to Delete user with Invalid Token
2. Assert response
"
"passed","Mon Feb 02 23:26:43 UTC 2026","Mon Feb 02 23:26:44 UTC 2026","439","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifySuccessUserRegistrationWithNameEqualTo30Characters","Verify that user is able to register successfully with [Name] == 30 characters","1. Enter 30 characters length value in [Name] field
2. Enter valid value in [Email] field
3. Enter valid value in [Password] field
4. Send request
"
"passed","Mon Feb 02 23:26:46 UTC 2026","Mon Feb 02 23:26:46 UTC 2026","429","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyUserIsNotAbleToRegisterWithExistingEmail","Verify that user is NOT able to register successfully with existing [Email]","1. Enter valid value in [Name] field
2. Enter already registered Email in [Email] field
3. Enter valid value in [Password] field
4. Send request
"
"passed","Mon Feb 02 23:26:42 UTC 2026","Mon Feb 02 23:26:43 UTC 2026","663","","Verify that user is able to fetch [Profile] data","","io.maksym.web.UserTests.GetUserProfileTest","getUserProfileTest","Verify that user is able to fetch [Profile] data","1. Register User
2. Log In with User
3. Get user Profile
4. Assert response
"
"passed","Mon Feb 02 23:26:55 UTC 2026","Mon Feb 02 23:27:02 UTC 2026","6692","","io.maksym.web.UI.WebInputsTest","","io.maksym.web.UI.WebInputsTest","testWebInputs","Verify that user is able to fill web inputs successfully [2] 456, Text2, Password2, 2021-11-21",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","110","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyRegistrationWithInvalidDataTest","Verify that user is NOT able to register successfully with empty [Name]",""
"passed","Mon Feb 02 23:26:42 UTC 2026","Mon Feb 02 23:26:42 UTC 2026","407","","Verify that user is able to get [Notes]","","io.maksym.web.NoteTests.GetNotesTest","getNoteByIdTest","Verify that user is able to get [Note] by Id","1. Create new Note
2. Send request to get Note by ID
3. Assert response
"
"passed","Mon Feb 02 23:27:00 UTC 2026","Mon Feb 02 23:27:02 UTC 2026","2089","","io.maksym.web.UI.LoginTest","","io.maksym.web.UI.LoginTest","verifyUseIsAbleToRedirectToRegistrationPage","Verify that user is able to redirect to Registration Page successfully",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","140","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyRegistrationWithInvalidDataTest","Verify that user is NOT able to register successfully with empty [All fields]",""
"passed","Mon Feb 02 23:26:48 UTC 2026","Mon Feb 02 23:26:54 UTC 2026","6896","","io.maksym.web.UI.WebInputsTest","","io.maksym.web.UI.WebInputsTest","testClearInputs","Verify that user is able to clear web inputs successfully",""
"passed","Mon Feb 02 23:26:38 UTC 2026","Mon Feb 02 23:26:43 UTC 2026","5371","","io.maksym.web.UI.RegistrationTest","","io.maksym.web.UI.RegistrationTest","invalidUserRegistrationAndLoginTest","Verify that user is NOT able to register successfully with empty [Username]",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:46 UTC 2026","1216","","Verify that user is able to update [Profile] data","","io.maksym.web.UserTests.UpdateUserProfileTest","updateUserProfileWithValidValuesTest","Verify that user is able to update [Phone]",""
"passed","Mon Feb 02 23:26:43 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","1821","","io.maksym.web.UI.HomeTest","","io.maksym.web.UI.HomeTest","HomeTest","HomeTest()",""
"passed","Mon Feb 02 23:26:43 UTC 2026","Mon Feb 02 23:26:43 UTC 2026","128","","Verify Successfull Health Check","","io.maksym.web.UserTests.HealthCheckTest","verifySuccessfullHealthCheck","Verify Successfull Health Check",""
"passed","Mon Feb 02 23:26:55 UTC 2026","Mon Feb 02 23:27:02 UTC 2026","7073","","io.maksym.web.UI.WebInputsTest","","io.maksym.web.UI.WebInputsTest","testWebInputs","Verify that user is able to fill web inputs successfully [1] 123, Text, Password, 2020-10-20",""
"passed","Mon Feb 02 23:26:50 UTC 2026","Mon Feb 02 23:26:57 UTC 2026","7253","","io.maksym.web.UI.ForgotPasswordTest","","io.maksym.web.UI.ForgotPasswordTest","verifyUserIsAbleToResetPassword","verifyUserIsAbleToResetPassword()",""
"passed","Mon Feb 02 23:26:56 UTC 2026","Mon Feb 02 23:26:59 UTC 2026","2795","","io.maksym.web.UI.LoginTest","","io.maksym.web.UI.LoginTest","verifyUserIsNotAbleToLoginWithInvalidCredentials","verifyUserIsNotAbleToLoginWithInvalidCredentials(String, String, UiUserLogIn) with both invalid [Username] and [Password]",""
"passed","Mon Feb 02 23:26:50 UTC 2026","Mon Feb 02 23:26:53 UTC 2026","3102","","io.maksym.web.UI.LoginTest","","io.maksym.web.UI.LoginTest","verifyUserIsAbleToLogin","Verify that user is able to login successfully",""
"passed","Mon Feb 02 23:26:42 UTC 2026","Mon Feb 02 23:26:43 UTC 2026","920","","Verify that user is able to Log In with valid credentials","","io.maksym.web.UserTests.LoginUserTest","VerifySuccessfullLogin","Verify that user is able to Log In with valid credentials","1. Enter valid value in [Name] field
2. Enter valid value in [Email] field
3. Enter valid value in [Password] field
4. Send request
"
"passed","Mon Feb 02 23:27:02 UTC 2026","Mon Feb 02 23:27:03 UTC 2026","1674","","io.maksym.web.UI.LoginTest","","io.maksym.web.UI.LoginTest","verifyUserIsNotAbleToLoginWithInvalidCredentials","verifyUserIsNotAbleToLoginWithInvalidCredentials(String, String, UiUserLogIn) with invalid [Password]",""
"passed","Mon Feb 02 23:26:45 UTC 2026","Mon Feb 02 23:26:46 UTC 2026","159","","Verify that user is able to register successfully","","io.maksym.web.UserTests.RegisterUserTest","verifyRegistrationWithInvalidDataTest","Verify that user is NOT able to register successfully with [Null] in [Name]",""
"passed","Mon Feb 02 23:26:44 UTC 2026","Mon Feb 02 23:26:45 UTC 2026","1251","","Verify that user is able to update [Profile] data","","io.maksym.web.UserTests.UpdateUserProfileTest","updateUserProfileWithValidValuesTest","Verify that user is able to update [Name]",""
"passed","Mon Feb 02 23:26:47 UTC 2026","Mon Feb 02 23:26:50 UTC 2026","2658","","io.maksym.web.UI.LocatorsTest","","io.maksym.web.UI.LocatorsTest","testLocatorsVisibility","Verify that locators page is visible",""
"passed","Mon Feb 02 23:26:41 UTC 2026","Mon Feb 02 23:26:41 UTC 2026","781","","Verify that user is able to delete [Note]","","io.maksym.web.NoteTests.DeleteNoteTest","deleteAllNotesTest","Verify that user is able to delete all [Notes]",""
